,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,430.2,445.3,427.4,443.7,21083336
1,2020-10-05 00:00:00+05:30,444.05,456.45,439.05,444.15,24252479
2,2020-10-06 00:00:00+05:30,449.5,452.7,442.7,449.65,19387356
3,2020-10-07 00:00:00+05:30,447.0,455.95,443.5,453.1,19873845
4,2020-10-08 00:00:00+05:30,455.55,461.65,447.25,451.9,20909290
5,2020-10-09 00:00:00+05:30,453.3,469.8,450.15,468.05,28049405
6,2020-10-12 00:00:00+05:30,473.5,480.0,462.3,468.0,21261504
7,2020-10-13 00:00:00+05:30,465.9,473.0,459.75,461.35,15582653
8,2020-10-14 00:00:00+05:30,458.0,474.65,454.0,471.3,13984719
9,2020-10-15 00:00:00+05:30,473.4,481.95,460.0,462.6,28987003
10,2020-10-16 00:00:00+05:30,465.15,475.5,463.0,472.4,16288158
0,2020-10-16 00:00:00+05:30,465.15,475.5,463.0,472.4,16288158
1,2020-10-19 00:00:00+05:30,477.05,495.9,476.25,492.95,28131975
2,2020-10-20 00:00:00+05:30,485.85,498.65,485.1,493.95,21376085
3,2020-10-21 00:00:00+05:30,496.9,507.5,486.6,501.45,27029707
4,2020-10-22 00:00:00+05:30,496.0,513.0,495.65,510.3,30022348
5,2020-10-23 00:00:00+05:30,513.9,515.5,504.5,507.2,18810270
6,2020-10-26 00:00:00+05:30,508.25,509.85,490.9,493.35,17446977
7,2020-10-27 00:00:00+05:30,494.0,512.25,482.65,508.1,24240216
8,2020-10-28 00:00:00+05:30,510.8,517.5,493.5,504.7,30343675
9,2020-10-29 00:00:00+05:30,506.0,516.35,489.35,493.85,50934761
10,2020-10-30 00:00:00+05:30,495.0,501.55,481.6,492.5,23142307
