,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,3325.0,3460.0,3315.05,3442.8,5382106
1,2020-10-05 00:00:00+05:30,3465.0,3519.0,3370.25,3382.9,4207264
2,2020-10-06 00:00:00+05:30,3439.9,3480.0,3391.2,3474.3,4758841
3,2020-10-07 00:00:00+05:30,3400.0,3400.0,3285.3,3331.15,6571280
4,2020-10-08 00:00:00+05:30,3354.0,3388.0,3302.0,3326.45,4461846
5,2020-10-09 00:00:00+05:30,3324.9,3418.45,3305.0,3317.9,5684150
6,2020-10-12 00:00:00+05:30,3350.0,3379.4,3305.0,3327.2,3204677
7,2020-10-13 00:00:00+05:30,3319.95,3340.0,3243.65,3272.6,3777675
8,2020-10-14 00:00:00+05:30,3268.0,3382.35,3232.7,3372.05,5304447
9,2020-10-15 00:00:00+05:30,3368.2,3370.0,3201.0,3214.75,5268171
10,2020-10-16 00:00:00+05:30,3236.35,3269.45,3170.1,3231.35,5076251
0,2020-10-16 00:00:00+05:30,3236.35,3269.45,3170.1,3231.35,5076251
1,2020-10-19 00:00:00+05:30,3255.1,3294.7,3196.6,3267.2,4206802
2,2020-10-20 00:00:00+05:30,3255.0,3289.5,3226.8,3262.15,3252493
3,2020-10-21 00:00:00+05:30,3270.0,3295.0,3101.35,3232.85,7536460
4,2020-10-22 00:00:00+05:30,3160.0,3345.0,3150.0,3314.45,7085782
5,2020-10-23 00:00:00+05:30,3331.4,3356.8,3303.0,3316.9,3204780
6,2020-10-26 00:00:00+05:30,3330.0,3330.0,3236.65,3293.9,3546292
7,2020-10-27 00:00:00+05:30,3326.0,3465.0,3278.0,3453.25,6020950
8,2020-10-28 00:00:00+05:30,3448.95,3489.9,3347.9,3370.8,4649120
9,2020-10-29 00:00:00+05:30,3367.8,3432.0,3333.75,3380.05,3780452
10,2020-10-30 00:00:00+05:30,3364.95,3391.0,3252.85,3309.0,4287635
