,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,426.0,434.6,423.65,432.35,13344280
1,2020-10-05 00:00:00+05:30,432.35,437.5,423.0,424.45,15001368
2,2020-10-06 00:00:00+05:30,427.0,430.0,423.1,426.75,10876652
3,2020-10-07 00:00:00+05:30,427.8,431.75,421.1,422.45,10202818
4,2020-10-08 00:00:00+05:30,426.0,435.5,419.1,424.45,16705222
5,2020-10-09 00:00:00+05:30,428.0,435.0,423.3,425.2,20563361
6,2020-10-12 00:00:00+05:30,428.0,430.6,411.85,415.05,14063002
7,2020-10-13 00:00:00+05:30,421.15,427.5,413.1,415.3,27781773
8,2020-10-14 00:00:00+05:30,416.4,419.5,411.3,413.25,14110038
9,2020-10-15 00:00:00+05:30,413.4,415.5,395.0,399.2,27855540
10,2020-10-16 00:00:00+05:30,404.45,407.3,398.35,401.65,23347957
0,2020-10-16 00:00:00+05:30,404.45,407.3,398.35,401.65,23347957
1,2020-10-19 00:00:00+05:30,403.55,404.65,394.0,397.7,16921274
2,2020-10-20 00:00:00+05:30,397.7,413.2,396.95,405.0,25909683
3,2020-10-21 00:00:00+05:30,405.7,420.2,403.55,419.0,23488238
4,2020-10-22 00:00:00+05:30,419.0,432.35,418.0,430.65,26516990
5,2020-10-23 00:00:00+05:30,434.9,437.6,427.3,434.4,18171287
6,2020-10-26 00:00:00+05:30,434.35,439.45,428.0,434.05,11736985
7,2020-10-27 00:00:00+05:30,434.05,438.9,427.5,433.35,12781318
8,2020-10-28 00:00:00+05:30,446.0,488.0,442.0,451.85,123585653
9,2020-10-29 00:00:00+05:30,447.7,457.1,445.0,450.8,25066939
10,2020-10-30 00:00:00+05:30,454.9,454.9,430.5,433.75,23051352
