,date,open,high,low,close,volume
0,2020-10-23 00:00:00+05:30,116.8,118.2,116.2,117.7,11876045
1,2020-10-26 00:00:00+05:30,117.9,117.9,114.2,114.55,11243328
2,2020-10-27 00:00:00+05:30,114.2,115.15,112.85,113.95,10985481
3,2020-10-28 00:00:00+05:30,113.95,114.0,112.4,112.7,9366429
4,2020-10-29 00:00:00+05:30,112.0,112.45,110.55,110.85,11415157
5,2020-10-30 00:00:00+05:30,111.6,115.2,111.05,114.2,17774954
6,2020-11-02 00:00:00+05:30,114.6,116.3,113.55,115.7,12785804
7,2020-11-03 00:00:00+05:30,115.6,117.25,115.6,116.5,12319486
8,2020-11-04 00:00:00+05:30,116.5,116.5,113.7,114.8,7382741
9,2020-11-05 00:00:00+05:30,116.35,120.6,115.25,119.85,14904921
