,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,5225.0,5256.0,5088.4,5112.05,2277137
1,2020-10-05 00:00:00+05:30,5170.0,5190.0,5103.0,5159.5,1837683
2,2020-10-06 00:00:00+05:30,5159.5,5226.75,5112.2,5136.5,1690007
3,2020-10-07 00:00:00+05:30,5145.0,5195.0,5093.2,5104.95,1582414
4,2020-10-08 00:00:00+05:30,5144.0,5214.8,5056.0,5194.4,2220562
5,2020-10-09 00:00:00+05:30,5151.0,5258.0,5136.0,5153.0,2333975
6,2020-10-12 00:00:00+05:30,5158.1,5238.0,5111.0,5220.5,1935812
7,2020-10-13 00:00:00+05:30,5230.0,5322.8,5157.85,5168.75,3363975
8,2020-10-14 00:00:00+05:30,5175.0,5219.75,5090.85,5123.0,1864628
9,2020-10-15 00:00:00+05:30,5148.65,5165.0,5020.1,5056.25,1768628
10,2020-10-16 00:00:00+05:30,5036.0,5125.0,5020.0,5080.55,2023115
0,2020-10-16 00:00:00+05:30,5036.0,5125.0,5020.0,5080.55,2023115
1,2020-10-19 00:00:00+05:30,5211.0,5215.0,5042.05,5058.15,2150734
2,2020-10-20 00:00:00+05:30,5056.95,5110.0,5030.95,5071.15,1380290
3,2020-10-21 00:00:00+05:30,5096.55,5096.55,4906.55,5046.75,1601491
4,2020-10-22 00:00:00+05:30,5036.7,5044.7,4831.0,5022.0,4918148
5,2020-10-23 00:00:00+05:30,5051.0,5091.0,4996.0,5018.25,1817481
6,2020-10-26 00:00:00+05:30,5008.0,5062.0,4951.25,4978.1,1408079
7,2020-10-27 00:00:00+05:30,4990.0,5127.0,4960.5,5099.4,1843547
8,2020-10-28 00:00:00+05:30,5110.0,5150.0,4920.0,4951.0,3628334
9,2020-10-29 00:00:00+05:30,4920.0,5040.0,4894.95,4941.95,2310287
10,2020-10-30 00:00:00+05:30,4974.0,4978.05,4870.15,4888.65,1263391
