,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,86.8,88.75,86.45,88.4,7687677
1,2020-10-05 00:00:00+05:30,88.5,89.8,86.35,87.0,13796331
2,2020-10-06 00:00:00+05:30,88.0,88.2,86.7,87.75,9233945
3,2020-10-07 00:00:00+05:30,87.0,87.85,86.45,86.7,12106660
4,2020-10-08 00:00:00+05:30,86.75,87.15,83.85,84.15,15153432
5,2020-10-09 00:00:00+05:30,84.5,86.35,83.3,85.7,14283816
6,2020-10-12 00:00:00+05:30,86.4,86.5,83.25,83.85,10645434
7,2020-10-13 00:00:00+05:30,83.6,84.0,82.1,83.15,9936578
8,2020-10-14 00:00:00+05:30,82.35,82.95,81.2,82.65,12516630
9,2020-10-15 00:00:00+05:30,82.4,83.95,82.0,82.3,10136635
10,2020-10-16 00:00:00+05:30,82.55,84.2,82.4,84.0,11036039
0,2020-10-16 00:00:00+05:30,82.55,84.2,82.4,84.0,11036039
1,2020-10-19 00:00:00+05:30,84.2,87.9,84.0,87.45,17139173
2,2020-10-20 00:00:00+05:30,85.8,87.4,85.0,85.7,10804676
3,2020-10-21 00:00:00+05:30,85.8,88.25,85.75,87.65,15809047
4,2020-10-22 00:00:00+05:30,86.15,89.1,86.15,88.65,19366327
5,2020-10-23 00:00:00+05:30,89.35,89.35,87.0,87.3,13327157
6,2020-10-26 00:00:00+05:30,87.65,87.8,85.0,85.5,9696925
7,2020-10-27 00:00:00+05:30,85.45,85.6,83.6,84.2,11804674
8,2020-10-28 00:00:00+05:30,84.95,84.95,82.8,83.1,13155853
9,2020-10-29 00:00:00+05:30,82.5,84.15,82.15,83.45,9245526
10,2020-10-30 00:00:00+05:30,84.0,85.1,82.7,84.75,10960418
