,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,749.2,756.0,736.05,754.55,2403720
1,2020-10-05 00:00:00+05:30,752.2,763.6,741.95,750.15,1900046
2,2020-10-06 00:00:00+05:30,750.25,759.95,740.5,757.7,1854621
3,2020-10-07 00:00:00+05:30,755.0,761.7,748.0,759.65,1626654
4,2020-10-08 00:00:00+05:30,765.0,774.7,758.7,770.35,2220310
5,2020-10-09 00:00:00+05:30,769.55,772.9,742.25,745.1,2905184
6,2020-10-12 00:00:00+05:30,746.15,752.35,738.0,744.7,2813652
7,2020-10-13 00:00:00+05:30,742.8,763.0,736.95,749.45,2740418
8,2020-10-14 00:00:00+05:30,743.0,768.0,733.45,763.6,2406038
9,2020-10-15 00:00:00+05:30,760.35,767.95,745.2,750.1,1500700
10,2020-10-16 00:00:00+05:30,752.95,776.65,750.0,772.7,1765026
0,2020-10-16 00:00:00+05:30,752.95,776.65,750.0,772.7,1765026
1,2020-10-19 00:00:00+05:30,772.0,782.4,761.55,773.15,2134699
2,2020-10-20 00:00:00+05:30,775.0,779.9,764.5,777.2,1739215
3,2020-10-21 00:00:00+05:30,780.0,794.45,771.55,791.75,2409367
4,2020-10-22 00:00:00+05:30,791.75,794.45,781.0,791.65,1699846
5,2020-10-23 00:00:00+05:30,794.1,804.0,782.1,785.2,2354331
6,2020-10-26 00:00:00+05:30,785.0,789.85,768.0,780.0,1338819
7,2020-10-27 00:00:00+05:30,774.0,790.0,772.85,779.1,1530802
8,2020-10-28 00:00:00+05:30,789.7,789.7,773.05,777.25,1977397
9,2020-10-29 00:00:00+05:30,772.75,777.35,766.0,770.2,1061950
10,2020-10-30 00:00:00+05:30,770.0,793.75,765.25,778.35,1709943
