,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,1090.1,1110.0,1090.1,1106.95,10601566
1,2020-10-05 00:00:00+05:30,1112.0,1132.0,1111.0,1114.35,8470109
2,2020-10-06 00:00:00+05:30,1135.05,1148.0,1126.2,1144.1,9685997
3,2020-10-07 00:00:00+05:30,1144.9,1164.85,1137.6,1162.25,10624527
4,2020-10-08 00:00:00+05:30,1180.0,1203.0,1163.35,1191.8,17530368
5,2020-10-09 00:00:00+05:30,1201.0,1237.0,1191.65,1233.55,22486215
6,2020-10-12 00:00:00+05:30,1231.55,1242.75,1205.6,1213.65,9610277
7,2020-10-13 00:00:00+05:30,1213.4,1222.45,1195.0,1198.45,9177015
8,2020-10-14 00:00:00+05:30,1195.55,1214.3,1175.5,1211.5,11291473
9,2020-10-15 00:00:00+05:30,1214.2,1217.0,1164.0,1169.25,14123569
10,2020-10-16 00:00:00+05:30,1180.0,1203.5,1173.0,1199.35,12911559
0,2020-10-16 00:00:00+05:30,1180.0,1203.5,1173.0,1199.35,12911559
1,2020-10-19 00:00:00+05:30,1235.0,1235.0,1192.6,1203.55,21179884
2,2020-10-20 00:00:00+05:30,1207.5,1227.4,1205.9,1223.95,13705994
3,2020-10-21 00:00:00+05:30,1230.6,1251.0,1221.7,1246.7,17820565
4,2020-10-22 00:00:00+05:30,1239.95,1250.0,1223.0,1233.3,10956548
5,2020-10-23 00:00:00+05:30,1243.5,1248.45,1231.2,1235.8,7933126
6,2020-10-26 00:00:00+05:30,1229.8,1242.0,1204.6,1210.9,9786023
7,2020-10-27 00:00:00+05:30,1226.0,1236.0,1197.85,1233.1,12158922
8,2020-10-28 00:00:00+05:30,1228.0,1232.0,1201.5,1209.6,8285625
9,2020-10-29 00:00:00+05:30,1200.6,1204.45,1178.5,1187.2,11530152
10,2020-10-30 00:00:00+05:30,1182.55,1199.3,1176.35,1183.55,5761470
