,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,2090.0,2108.9,2070.0,2095.0,2131593
1,2020-10-05 00:00:00+05:30,2100.0,2123.3,2082.2,2111.05,1646114
2,2020-10-06 00:00:00+05:30,2119.0,2140.0,2108.05,2115.9,1679500
3,2020-10-07 00:00:00+05:30,2123.0,2150.0,2113.0,2139.35,2428598
4,2020-10-08 00:00:00+05:30,2147.0,2165.0,2146.25,2160.8,1617382
5,2020-10-09 00:00:00+05:30,2150.0,2166.95,2121.1,2139.65,2001031
6,2020-10-12 00:00:00+05:30,2145.2,2147.6,2123.3,2138.4,1741171
7,2020-10-13 00:00:00+05:30,2137.95,2153.25,2128.0,2138.2,1679176
8,2020-10-14 00:00:00+05:30,2132.6,2165.0,2131.0,2158.15,2123033
9,2020-10-15 00:00:00+05:30,2160.0,2179.7,2141.05,2152.55,2344440
10,2020-10-16 00:00:00+05:30,2171.9,2171.9,2144.05,2150.55,1640402
0,2020-10-16 00:00:00+05:30,2171.9,2171.9,2144.05,2150.55,1640402
1,2020-10-19 00:00:00+05:30,2153.55,2185.0,2152.1,2177.8,1606069
2,2020-10-20 00:00:00+05:30,2182.1,2208.5,2132.55,2173.1,5855301
3,2020-10-21 00:00:00+05:30,2190.0,2196.75,2136.0,2163.15,3954247
4,2020-10-22 00:00:00+05:30,2160.0,2187.25,2153.2,2179.35,2632959
5,2020-10-23 00:00:00+05:30,2188.9,2188.9,2140.0,2143.85,2805734
6,2020-10-26 00:00:00+05:30,2150.0,2172.0,2142.3,2166.75,1646050
7,2020-10-27 00:00:00+05:30,2157.0,2189.0,2152.45,2176.7,2334908
8,2020-10-28 00:00:00+05:30,2183.95,2183.95,2144.1,2164.35,1555484
9,2020-10-29 00:00:00+05:30,2142.0,2160.0,2116.0,2122.1,1934403
10,2020-10-30 00:00:00+05:30,2118.2,2120.0,2068.0,2071.3,2414328
