,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,358.25,371.2,358.25,369.2,23237126
1,2020-10-05 00:00:00+05:30,370.75,382.65,370.75,373.1,26530162
2,2020-10-06 00:00:00+05:30,377.1,381.8,375.1,380.6,18093629
3,2020-10-07 00:00:00+05:30,379.3,384.35,374.1,382.65,21845796
4,2020-10-08 00:00:00+05:30,385.0,389.7,382.65,387.5,21085576
5,2020-10-09 00:00:00+05:30,390.7,403.5,386.9,401.5,41641261
6,2020-10-12 00:00:00+05:30,403.45,410.0,400.7,404.05,25742604
7,2020-10-13 00:00:00+05:30,401.0,401.0,393.5,396.25,19922840
8,2020-10-14 00:00:00+05:30,394.35,409.25,389.0,406.8,23368688
9,2020-10-15 00:00:00+05:30,406.9,409.9,389.15,391.0,34238713
10,2020-10-16 00:00:00+05:30,394.0,401.3,390.5,396.1,25339477
0,2020-10-16 00:00:00+05:30,394.0,401.3,390.5,396.1,25339477
1,2020-10-19 00:00:00+05:30,402.05,418.75,401.15,417.1,41073000
2,2020-10-20 00:00:00+05:30,413.5,416.9,411.0,414.6,26159021
3,2020-10-21 00:00:00+05:30,416.0,428.5,410.3,420.3,43125095
4,2020-10-22 00:00:00+05:30,416.4,419.65,407.65,412.9,33090057
5,2020-10-23 00:00:00+05:30,417.0,420.5,411.75,416.95,22151465
6,2020-10-26 00:00:00+05:30,418.05,419.15,401.45,404.45,21712470
7,2020-10-27 00:00:00+05:30,406.35,412.4,393.25,409.95,33571188
8,2020-10-28 00:00:00+05:30,409.9,409.9,394.8,396.05,28145199
9,2020-10-29 00:00:00+05:30,392.25,402.9,389.65,399.9,32615570
10,2020-10-30 00:00:00+05:30,399.4,402.7,388.05,392.6,27226359
