,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,175.45,182.3,175.45,178.95,8533545
1,2020-10-05 00:00:00+05:30,180.0,182.9,176.55,178.55,6494646
2,2020-10-06 00:00:00+05:30,180.55,183.3,178.65,181.8,4324658
3,2020-10-07 00:00:00+05:30,182.0,188.1,181.35,185.3,12604960
4,2020-10-08 00:00:00+05:30,186.85,191.8,184.55,191.0,8718600
5,2020-10-09 00:00:00+05:30,191.0,192.9,184.8,186.5,6548750
6,2020-10-12 00:00:00+05:30,186.6,192.9,186.0,189.0,8613164
7,2020-10-13 00:00:00+05:30,187.95,187.95,180.0,181.85,7547442
8,2020-10-14 00:00:00+05:30,182.55,192.0,181.95,189.55,11990842
9,2020-10-15 00:00:00+05:30,189.5,195.0,177.5,180.9,13178839
10,2020-10-16 00:00:00+05:30,183.6,184.45,178.2,182.55,5403871
0,2020-10-16 00:00:00+05:30,183.6,184.45,178.2,182.55,5403871
1,2020-10-19 00:00:00+05:30,183.95,184.95,179.15,181.1,3655373
2,2020-10-20 00:00:00+05:30,181.5,191.0,181.3,190.05,11755738
3,2020-10-21 00:00:00+05:30,190.0,193.7,188.4,192.75,5951073
4,2020-10-22 00:00:00+05:30,192.75,196.9,190.75,195.9,7602589
5,2020-10-23 00:00:00+05:30,200.0,205.75,189.55,192.15,19305105
6,2020-10-26 00:00:00+05:30,193.55,193.55,185.6,188.35,4270254
7,2020-10-27 00:00:00+05:30,189.8,195.4,187.0,188.85,7530325
8,2020-10-28 00:00:00+05:30,190.0,194.25,183.7,186.15,8384473
9,2020-10-29 00:00:00+05:30,184.8,187.5,180.5,184.15,6712912
10,2020-10-30 00:00:00+05:30,183.25,186.95,179.2,185.55,5942541
