,date,open,high,low,close,volume
0,2020-10-23 00:00:00+05:30,77.7,79.25,77.7,78.25,13735592
1,2020-10-26 00:00:00+05:30,78.25,79.2,78.0,78.1,12517768
2,2020-10-27 00:00:00+05:30,77.55,78.5,76.1,78.1,15157667
3,2020-10-28 00:00:00+05:30,78.1,78.35,77.1,78.05,11414392
4,2020-10-29 00:00:00+05:30,76.7,78.9,76.2,78.4,18997747
5,2020-10-30 00:00:00+05:30,80.0,81.9,79.0,79.55,54768803
6,2020-11-02 00:00:00+05:30,80.05,80.5,77.55,78.2,19197735
7,2020-11-03 00:00:00+05:30,78.05,79.1,77.4,78.0,15275353
8,2020-11-04 00:00:00+05:30,78.0,78.5,76.85,77.95,10731410
9,2020-11-05 00:00:00+05:30,78.7,80.2,78.25,79.8,19673077
