,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,174.5,174.6,170.1,170.85,19758300
1,2020-10-05 00:00:00+05:30,171.1,172.8,168.75,169.25,24301177
2,2020-10-06 00:00:00+05:30,169.5,171.6,168.1,169.9,21886300
3,2020-10-07 00:00:00+05:30,170.0,170.9,169.0,169.5,16286695
4,2020-10-08 00:00:00+05:30,170.1,170.4,166.9,167.15,25503975
5,2020-10-09 00:00:00+05:30,167.5,168.9,166.35,167.85,22373477
6,2020-10-12 00:00:00+05:30,170.5,175.2,170.0,172.2,66250654
7,2020-10-13 00:00:00+05:30,172.85,174.85,169.5,170.15,35685353
8,2020-10-14 00:00:00+05:30,170.55,171.0,167.05,167.8,38219096
9,2020-10-15 00:00:00+05:30,167.7,167.8,164.55,165.05,27116959
10,2020-10-16 00:00:00+05:30,165.5,166.8,163.8,165.7,20227113
0,2020-10-16 00:00:00+05:30,165.5,166.8,163.8,165.7,20227113
1,2020-10-19 00:00:00+05:30,166.8,168.9,166.15,168.25,19016841
2,2020-10-20 00:00:00+05:30,168.0,168.3,166.7,167.45,16149041
3,2020-10-21 00:00:00+05:30,168.15,168.9,166.6,167.65,16479194
4,2020-10-22 00:00:00+05:30,167.55,169.1,167.0,168.55,22044453
5,2020-10-23 00:00:00+05:30,168.95,171.0,167.75,170.75,20147370
6,2020-10-26 00:00:00+05:30,171.5,171.6,168.25,168.55,16081502
7,2020-10-27 00:00:00+05:30,168.5,169.3,166.75,167.2,45885935
8,2020-10-28 00:00:00+05:30,168.5,168.5,165.0,165.5,16820839
9,2020-10-29 00:00:00+05:30,165.0,165.95,163.45,163.85,21008755
10,2020-10-30 00:00:00+05:30,164.0,166.8,163.35,165.25,16347510
