,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,909.95,913.6,900.7,902.8,2506559
1,2020-10-05 00:00:00+05:30,907.95,908.55,895.05,896.95,2788003
2,2020-10-06 00:00:00+05:30,901.05,904.55,888.25,892.6,3497327
3,2020-10-07 00:00:00+05:30,895.0,895.0,876.05,887.9,5074140
4,2020-10-08 00:00:00+05:30,890.3,894.0,879.05,881.05,3918967
5,2020-10-09 00:00:00+05:30,887.4,914.95,885.6,908.45,9668658
6,2020-10-12 00:00:00+05:30,916.95,925.75,902.05,905.75,6188907
7,2020-10-13 00:00:00+05:30,907.95,915.7,888.85,896.45,4548652
8,2020-10-14 00:00:00+05:30,897.0,917.0,887.2,915.2,5287050
9,2020-10-15 00:00:00+05:30,913.0,919.0,885.4,888.8,4927842
10,2020-10-16 00:00:00+05:30,894.0,903.5,889.5,894.1,2373465
0,2020-10-16 00:00:00+05:30,894.0,903.5,889.5,894.1,2373465
1,2020-10-19 00:00:00+05:30,899.0,906.0,884.0,902.9,5800528
2,2020-10-20 00:00:00+05:30,919.0,935.5,913.0,917.3,13188768
3,2020-10-21 00:00:00+05:30,924.95,931.0,908.65,924.45,6391002
4,2020-10-22 00:00:00+05:30,922.0,939.0,920.15,936.3,6151489
5,2020-10-23 00:00:00+05:30,940.0,948.5,928.0,941.25,5102393
6,2020-10-26 00:00:00+05:30,949.85,959.25,943.0,951.75,6976099
7,2020-10-27 00:00:00+05:30,960.0,986.0,955.15,981.95,9638582
8,2020-10-28 00:00:00+05:30,989.95,994.65,974.2,982.85,7369226
9,2020-10-29 00:00:00+05:30,951.1,958.8,926.0,934.5,11853447
10,2020-10-30 00:00:00+05:30,941.0,946.8,924.2,929.5,4797494
