,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,614.7,621.9,608.15,610.15,3842331
1,2020-10-05 00:00:00+05:30,615.0,616.25,597.1,607.0,5977265
2,2020-10-06 00:00:00+05:30,611.6,633.0,609.0,627.4,9071955
3,2020-10-07 00:00:00+05:30,629.9,636.9,625.0,631.6,6086867
4,2020-10-08 00:00:00+05:30,634.15,640.95,627.6,634.15,4683786
5,2020-10-09 00:00:00+05:30,634.15,647.45,628.3,633.2,4972965
6,2020-10-12 00:00:00+05:30,637.9,639.7,630.0,634.4,3247642
7,2020-10-13 00:00:00+05:30,634.35,642.0,624.35,627.9,3769229
8,2020-10-14 00:00:00+05:30,623.4,627.8,616.3,623.85,2776984
9,2020-10-15 00:00:00+05:30,620.95,633.0,614.1,617.3,3795307
10,2020-10-16 00:00:00+05:30,617.5,623.95,602.05,606.65,4274914
0,2020-10-16 00:00:00+05:30,617.5,623.95,602.05,606.65,4274914
1,2020-10-19 00:00:00+05:30,612.7,614.5,595.2,597.45,3646303
2,2020-10-20 00:00:00+05:30,597.4,609.0,590.3,602.25,4377774
3,2020-10-21 00:00:00+05:30,606.9,610.8,592.2,600.85,3684794
4,2020-10-22 00:00:00+05:30,599.8,606.95,594.1,604.35,3818892
5,2020-10-23 00:00:00+05:30,609.75,628.0,605.35,625.15,6421823
6,2020-10-26 00:00:00+05:30,624.95,625.85,594.6,597.15,4800537
7,2020-10-27 00:00:00+05:30,600.4,605.0,593.5,597.15,5712303
8,2020-10-28 00:00:00+05:30,599.0,613.0,594.2,604.15,6811118
9,2020-10-29 00:00:00+05:30,598.2,604.15,590.25,591.95,3680984
10,2020-10-30 00:00:00+05:30,592.55,601.75,586.8,594.0,4209087
