,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,6838.2,6909.0,6775.4,6796.3,1256003
1,2020-10-05 00:00:00+05:30,6865.0,6877.6,6745.0,6818.85,833481
2,2020-10-06 00:00:00+05:30,6858.0,6939.8,6830.0,6892.4,756215
3,2020-10-07 00:00:00+05:30,6920.0,7070.0,6865.55,7046.9,1101957
4,2020-10-08 00:00:00+05:30,7090.0,7140.0,7021.0,7079.85,851205
5,2020-10-09 00:00:00+05:30,7060.0,7159.0,7001.0,7062.4,839682
6,2020-10-12 00:00:00+05:30,7110.0,7155.0,7005.0,7136.65,799713
7,2020-10-13 00:00:00+05:30,7135.0,7185.0,7022.0,7032.9,819418
8,2020-10-14 00:00:00+05:30,7040.0,7075.0,6927.45,7002.35,779634
9,2020-10-15 00:00:00+05:30,7029.0,7049.9,6857.7,6892.6,681321
10,2020-10-16 00:00:00+05:30,6895.0,6980.0,6863.0,6894.9,657914
0,2020-10-16 00:00:00+05:30,6895.0,6980.0,6863.0,6894.9,657914
1,2020-10-19 00:00:00+05:30,6975.0,6980.0,6825.0,6851.95,548472
2,2020-10-20 00:00:00+05:30,6817.0,6949.0,6810.0,6844.6,659864
3,2020-10-21 00:00:00+05:30,6904.0,6947.6,6764.65,6861.85,911969
4,2020-10-22 00:00:00+05:30,6828.0,6860.0,6775.2,6811.55,584542
5,2020-10-23 00:00:00+05:30,6858.0,7124.7,6832.0,7103.25,1758999
6,2020-10-26 00:00:00+05:30,7100.0,7161.3,6935.05,7054.8,1559361
7,2020-10-27 00:00:00+05:30,7067.0,7209.75,7053.0,7158.4,1461819
8,2020-10-28 00:00:00+05:30,7194.95,7332.0,7110.0,7186.05,1645177
9,2020-10-29 00:00:00+05:30,7114.0,7199.0,6986.7,7117.7,1434853
10,2020-10-30 00:00:00+05:30,7079.05,7110.0,6881.0,6965.15,1360249
