,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,85.8,85.8,84.5,84.9,18244685
1,2020-10-05 00:00:00+05:30,85.0,85.45,83.8,84.45,15684514
2,2020-10-06 00:00:00+05:30,84.45,84.65,83.65,84.15,13094249
3,2020-10-07 00:00:00+05:30,84.2,84.25,82.25,82.8,19057128
4,2020-10-08 00:00:00+05:30,83.1,83.35,82.35,82.6,11961713
5,2020-10-09 00:00:00+05:30,82.85,83.15,81.65,82.9,18016487
6,2020-10-12 00:00:00+05:30,83.65,84.55,82.4,82.75,11714370
7,2020-10-13 00:00:00+05:30,82.8,83.4,82.4,82.65,11509196
8,2020-10-14 00:00:00+05:30,82.8,83.05,78.1,79.1,47114567
9,2020-10-15 00:00:00+05:30,79.1,80.5,78.5,79.0,20107632
10,2020-10-16 00:00:00+05:30,79.0,80.5,78.45,80.3,16578317
0,2020-10-16 00:00:00+05:30,79.0,80.5,78.45,80.3,16578317
1,2020-10-19 00:00:00+05:30,80.95,83.15,80.5,81.65,21839955
2,2020-10-20 00:00:00+05:30,81.65,81.95,80.3,80.65,14238588
3,2020-10-21 00:00:00+05:30,81.45,83.8,80.65,82.3,38563963
4,2020-10-22 00:00:00+05:30,82.3,85.9,81.4,84.65,34256607
5,2020-10-23 00:00:00+05:30,86.0,86.6,84.5,86.25,46259632
6,2020-10-26 00:00:00+05:30,87.1,88.0,84.3,85.95,34724657
7,2020-10-27 00:00:00+05:30,88.8,90.05,87.05,89.45,95413214
8,2020-10-28 00:00:00+05:30,89.45,90.65,87.5,88.1,44763307
9,2020-10-29 00:00:00+05:30,87.0,88.5,86.0,86.5,41915668
10,2020-10-30 00:00:00+05:30,86.9,88.75,86.3,87.6,40735912
