,date,open,high,low,close,volume
0,2020-10-23 00:00:00+05:30,69.2,69.6,68.6,69.0,13180165
1,2020-10-26 00:00:00+05:30,69.5,69.5,67.65,68.2,14225064
2,2020-10-27 00:00:00+05:30,68.1,68.45,66.5,66.85,17088935
3,2020-10-28 00:00:00+05:30,67.25,67.4,66.1,66.35,15025734
4,2020-10-29 00:00:00+05:30,66.05,66.35,64.1,64.4,29901827
5,2020-10-30 00:00:00+05:30,65.0,65.9,64.2,64.9,25857851
6,2020-11-02 00:00:00+05:30,65.4,66.05,64.2,65.7,12847852
7,2020-11-03 00:00:00+05:30,66.0,66.75,65.7,66.3,10809489
8,2020-11-04 00:00:00+05:30,66.3,66.9,65.6,66.45,12479581
9,2020-11-05 00:00:00+05:30,66.9,68.1,66.2,67.6,17947631
