,date,open,high,low,close,volume
0,2020-10-23 00:00:00+05:30,165.1,171.4,164.7,170.15,16396341
1,2020-10-26 00:00:00+05:30,170.05,172.95,169.65,172.05,20677888
2,2020-10-27 00:00:00+05:30,172.05,175.35,171.5,173.5,13280939
3,2020-10-28 00:00:00+05:30,174.55,174.55,171.55,172.85,7909018
4,2020-10-29 00:00:00+05:30,171.05,173.3,170.25,171.6,9930549
5,2020-10-30 00:00:00+05:30,170.5,172.0,169.3,171.0,12884035
6,2020-11-02 00:00:00+05:30,172.55,174.4,171.95,173.05,7550775
7,2020-11-03 00:00:00+05:30,174.0,180.7,173.85,179.95,15435950
8,2020-11-04 00:00:00+05:30,179.95,180.0,174.65,177.1,10947058
9,2020-11-05 00:00:00+05:30,178.0,179.8,176.6,179.05,5764503
