,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,2263.8,2263.8,2214.0,2225.25,9591467
1,2020-10-05 00:00:00+05:30,2244.0,2249.15,2206.0,2212.2,8732890
2,2020-10-06 00:00:00+05:30,2225.25,2233.9,2201.65,2210.35,8497352
3,2020-10-07 00:00:00+05:30,2235.0,2309.0,2220.0,2257.5,24538620
4,2020-10-08 00:00:00+05:30,2259.0,2268.0,2222.1,2239.25,9727508
5,2020-10-09 00:00:00+05:30,2235.0,2253.0,2217.1,2233.45,8558747
6,2020-10-12 00:00:00+05:30,2235.0,2255.75,2226.25,2237.05,6565525
7,2020-10-13 00:00:00+05:30,2230.6,2285.75,2225.85,2280.7,10666280
8,2020-10-14 00:00:00+05:30,2278.9,2304.0,2268.5,2287.5,12341487
9,2020-10-15 00:00:00+05:30,2290.0,2290.0,2195.0,2206.5,9246893
10,2020-10-16 00:00:00+05:30,2215.0,2232.5,2172.65,2175.8,9961080
0,2020-10-16 00:00:00+05:30,2215.0,2232.5,2172.65,2175.8,9961080
1,2020-10-19 00:00:00+05:30,2190.05,2228.7,2155.15,2176.2,14399062
2,2020-10-20 00:00:00+05:30,2179.0,2193.0,2152.25,2155.9,8529621
3,2020-10-21 00:00:00+05:30,2168.0,2192.0,2097.75,2124.6,15729989
4,2020-10-22 00:00:00+05:30,2127.4,2132.5,2091.0,2106.95,14215255
5,2020-10-23 00:00:00+05:30,2106.0,2135.0,2096.4,2113.05,10809383
6,2020-10-26 00:00:00+05:30,2101.95,2101.95,2018.5,2029.1,17225340
7,2020-10-27 00:00:00+05:30,2034.9,2059.85,2005.0,2034.5,16835011
8,2020-10-28 00:00:00+05:30,2041.8,2057.7,2007.4,2011.45,13810054
9,2020-10-29 00:00:00+05:30,1997.0,2042.0,1991.0,2026.9,14147681
10,2020-10-30 00:00:00+05:30,2033.5,2065.1,2021.8,2054.5,15701123
