,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,2510.0,2540.0,2492.3,2523.45,2610338
1,2020-10-05 00:00:00+05:30,2620.0,2728.1,2603.05,2705.8,17412119
2,2020-10-06 00:00:00+05:30,2736.0,2736.0,2650.1,2714.3,9846376
3,2020-10-07 00:00:00+05:30,2742.0,2770.0,2703.0,2735.95,9656167
4,2020-10-08 00:00:00+05:30,2800.0,2885.0,2800.0,2825.7,19839826
5,2020-10-09 00:00:00+05:30,2810.0,2829.85,2780.0,2812.95,7739375
6,2020-10-12 00:00:00+05:30,2815.5,2854.0,2800.75,2830.0,4623211
7,2020-10-13 00:00:00+05:30,2845.0,2854.9,2812.2,2826.55,4209905
8,2020-10-14 00:00:00+05:30,2842.0,2842.0,2787.55,2809.6,4395979
9,2020-10-15 00:00:00+05:30,2811.0,2827.75,2727.0,2740.6,6629395
10,2020-10-16 00:00:00+05:30,2750.1,2771.65,2731.3,2763.3,5273773
0,2020-10-16 00:00:00+05:30,2750.1,2771.65,2731.3,2763.3,5273773
1,2020-10-19 00:00:00+05:30,2774.0,2774.0,2706.6,2711.55,3331194
2,2020-10-20 00:00:00+05:30,2725.0,2759.9,2717.95,2739.0,3406298
3,2020-10-21 00:00:00+05:30,2739.0,2749.0,2663.05,2675.4,4570175
4,2020-10-22 00:00:00+05:30,2661.0,2686.65,2638.1,2671.15,5262311
5,2020-10-23 00:00:00+05:30,2687.8,2702.0,2670.1,2686.8,3499372
6,2020-10-26 00:00:00+05:30,2689.95,2709.95,2670.5,2688.2,2672766
7,2020-10-27 00:00:00+05:30,2699.75,2718.15,2624.1,2630.15,3537594
8,2020-10-28 00:00:00+05:30,2650.0,2655.95,2606.0,2622.2,3569515
9,2020-10-29 00:00:00+05:30,2608.0,2655.0,2600.25,2632.65,3105970
10,2020-10-30 00:00:00+05:30,2636.1,2674.35,2621.6,2664.85,3427003
