,date,open,high,low,close,volume
0,2020-10-23 00:00:00+05:30,840.0,857.45,833.55,848.25,7356768
1,2020-10-26 00:00:00+05:30,830.0,854.7,814.0,819.25,9770664
2,2020-10-27 00:00:00+05:30,826.4,833.75,816.0,828.65,5479547
3,2020-10-28 00:00:00+05:30,830.0,836.45,801.0,804.3,6829430
4,2020-10-29 00:00:00+05:30,790.0,809.4,781.85,804.25,6477349
5,2020-10-30 00:00:00+05:30,806.7,818.65,802.7,813.3,6189611
6,2020-11-02 00:00:00+05:30,821.4,824.8,809.4,814.65,4433983
7,2020-11-03 00:00:00+05:30,821.0,825.0,804.3,808.1,4599741
8,2020-11-04 00:00:00+05:30,816.0,836.0,812.6,826.85,5017595
9,2020-11-05 00:00:00+05:30,836.0,849.7,833.75,840.7,4269675
