,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,1203.6,1211.0,1182.0,1198.65,2990243
1,2020-10-05 00:00:00+05:30,1201.0,1216.0,1188.7,1194.35,2151235
2,2020-10-06 00:00:00+05:30,1204.0,1215.95,1192.0,1199.95,2087273
3,2020-10-07 00:00:00+05:30,1205.0,1268.0,1200.45,1254.0,9411160
4,2020-10-08 00:00:00+05:30,1257.0,1262.55,1233.6,1254.15,3144920
5,2020-10-09 00:00:00+05:30,1254.15,1269.0,1247.5,1255.2,1873196
6,2020-10-12 00:00:00+05:30,1260.2,1261.35,1236.0,1256.75,2009418
7,2020-10-13 00:00:00+05:30,1257.55,1281.9,1223.65,1228.85,4735316
8,2020-10-14 00:00:00+05:30,1224.35,1248.95,1218.55,1223.45,4096716
9,2020-10-15 00:00:00+05:30,1222.9,1237.55,1210.0,1213.6,2727329
10,2020-10-16 00:00:00+05:30,1216.05,1240.05,1216.0,1223.15,2772602
0,2020-10-16 00:00:00+05:30,1216.05,1240.05,1216.0,1223.15,2772602
1,2020-10-19 00:00:00+05:30,1225.1,1234.6,1213.1,1228.8,1606979
2,2020-10-20 00:00:00+05:30,1230.0,1245.55,1217.1,1233.5,2841242
3,2020-10-21 00:00:00+05:30,1241.0,1256.55,1229.0,1244.7,2687528
4,2020-10-22 00:00:00+05:30,1240.15,1253.0,1220.0,1229.45,1973527
5,2020-10-23 00:00:00+05:30,1235.0,1247.8,1231.2,1241.7,1527141
6,2020-10-26 00:00:00+05:30,1250.0,1250.0,1210.5,1215.5,1425518
7,2020-10-27 00:00:00+05:30,1219.0,1237.0,1213.55,1231.8,1778358
8,2020-10-28 00:00:00+05:30,1231.8,1241.0,1185.35,1217.0,4810354
9,2020-10-29 00:00:00+05:30,1201.0,1201.0,1155.55,1178.2,5274145
10,2020-10-30 00:00:00+05:30,1176.4,1187.8,1159.1,1165.75,2275595
