,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,4088.0,4120.0,4062.1,4097.75,406483
1,2020-10-05 00:00:00+05:30,4114.1,4114.1,4031.05,4047.15,313282
2,2020-10-06 00:00:00+05:30,4055.2,4148.0,4055.2,4136.1,351025
3,2020-10-07 00:00:00+05:30,4122.75,4285.95,4114.1,4213.35,1037715
4,2020-10-08 00:00:00+05:30,4225.0,4360.0,4214.0,4346.0,801790
5,2020-10-09 00:00:00+05:30,4340.0,4374.95,4275.5,4298.35,405756
6,2020-10-12 00:00:00+05:30,4300.0,4361.0,4246.4,4306.3,488896
7,2020-10-13 00:00:00+05:30,4448.0,4525.0,4339.45,4382.75,2369441
8,2020-10-14 00:00:00+05:30,4381.85,4459.0,4315.0,4442.85,817554
9,2020-10-15 00:00:00+05:30,4459.0,4473.0,4366.3,4383.3,545475
10,2020-10-16 00:00:00+05:30,4383.95,4496.0,4380.0,4482.1,669845
0,2020-10-16 00:00:00+05:30,4383.95,4496.0,4380.0,4482.1,669845
1,2020-10-19 00:00:00+05:30,4500.0,4549.0,4464.85,4514.6,636376
2,2020-10-20 00:00:00+05:30,4544.5,4584.5,4485.0,4544.35,871380
3,2020-10-21 00:00:00+05:30,4545.35,4658.0,4440.0,4629.1,2032618
4,2020-10-22 00:00:00+05:30,4675.0,4735.55,4528.6,4614.55,1812783
5,2020-10-23 00:00:00+05:30,4620.0,4642.0,4488.4,4504.55,886850
6,2020-10-26 00:00:00+05:30,4510.0,4544.4,4459.35,4485.4,727544
7,2020-10-27 00:00:00+05:30,4495.0,4628.0,4485.0,4566.95,1088254
8,2020-10-28 00:00:00+05:30,4593.9,4593.9,4453.0,4469.3,509920
9,2020-10-29 00:00:00+05:30,4449.1,4615.35,4440.0,4576.8,927672
10,2020-10-30 00:00:00+05:30,4550.0,4671.0,4540.05,4574.05,934842
