,date,open,high,low,close,volume
0,2020-10-23 00:00:00+05:30,458.5,458.5,450.0,450.95,3682129
1,2020-10-26 00:00:00+05:30,454.95,454.95,431.5,433.4,6280314
2,2020-10-27 00:00:00+05:30,435.0,441.4,429.35,438.55,4881972
3,2020-10-28 00:00:00+05:30,440.35,454.5,437.5,450.75,7235748
4,2020-10-29 00:00:00+05:30,447.4,455.6,444.25,450.25,4598075
5,2020-10-30 00:00:00+05:30,451.9,457.5,446.45,453.25,3684252
6,2020-11-02 00:00:00+05:30,465.0,465.0,431.65,445.35,10356782
7,2020-11-03 00:00:00+05:30,444.4,449.5,414.0,417.05,16512536
8,2020-11-04 00:00:00+05:30,415.7,415.7,399.0,401.35,19363947
9,2020-11-05 00:00:00+05:30,407.95,419.6,405.15,418.4,11470585
