,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,137.6,139.25,136.75,137.45,9343343
1,2020-10-05 00:00:00+05:30,139.85,140.2,135.25,137.8,27447501
2,2020-10-06 00:00:00+05:30,137.7,139.0,136.2,137.9,26883321
3,2020-10-07 00:00:00+05:30,138.0,138.75,117.55,123.35,108110333
4,2020-10-08 00:00:00+05:30,123.5,127.15,111.1,117.9,112029639
5,2020-10-09 00:00:00+05:30,117.45,128.5,111.4,121.85,148375666
6,2020-10-12 00:00:00+05:30,109.7,109.7,92.15,96.95,145053623
7,2020-10-13 00:00:00+05:30,98.45,103.9,97.85,99.65,99094150
8,2020-10-14 00:00:00+05:30,99.05,100.5,92.8,98.45,62243903
9,2020-10-15 00:00:00+05:30,98.0,100.25,94.4,94.95,34924088
10,2020-10-16 00:00:00+05:30,96.25,98.0,94.5,94.9,24332358
0,2020-10-16 00:00:00+05:30,96.25,98.0,94.5,94.9,24332358
1,2020-10-19 00:00:00+05:30,95.45,98.45,92.75,96.75,37395508
2,2020-10-20 00:00:00+05:30,96.3,100.05,95.85,99.25,35725502
3,2020-10-21 00:00:00+05:30,101.0,104.4,99.75,101.2,73030582
4,2020-10-22 00:00:00+05:30,106.0,107.75,103.3,104.45,79746114
5,2020-10-23 00:00:00+05:30,105.55,107.2,104.25,104.75,39426609
6,2020-10-26 00:00:00+05:30,104.7,106.9,103.35,103.85,46768212
7,2020-10-27 00:00:00+05:30,104.55,104.55,102.0,102.5,33623806
8,2020-10-28 00:00:00+05:30,94.3,98.5,93.65,95.4,50491819
9,2020-10-29 00:00:00+05:30,94.4,96.75,93.85,95.45,24381210
10,2020-10-30 00:00:00+05:30,95.8,96.4,93.3,95.75,18428592
