,date,open,high,low,close,volume
0,2020-10-23 00:00:00+05:30,346.9,347.1,341.3,342.4,8673514
1,2020-10-26 00:00:00+05:30,343.7,344.9,336.7,339.8,8695206
2,2020-10-27 00:00:00+05:30,338.3,339.75,331.05,334.05,9910942
3,2020-10-28 00:00:00+05:30,335.75,339.85,334.4,335.65,8984606
4,2020-10-29 00:00:00+05:30,333.65,340.0,331.15,337.45,7239961
5,2020-10-30 00:00:00+05:30,339.25,345.0,338.45,340.7,11496123
6,2020-11-02 00:00:00+05:30,341.75,341.75,333.7,334.8,4831133
7,2020-11-03 00:00:00+05:30,335.5,339.45,332.65,335.65,4757798
8,2020-11-04 00:00:00+05:30,338.0,351.55,337.5,342.95,15381900
9,2020-11-05 00:00:00+05:30,347.95,349.0,344.05,345.4,5602436
