,date,open,high,low,close,volume
0,2020-10-01 00:00:00+05:30,211.0,215.0,210.5,214.0,19070023
1,2020-10-05 00:00:00+05:30,214.5,215.0,207.5,208.2,22137202
2,2020-10-06 00:00:00+05:30,211.0,219.55,208.45,216.9,26397321
3,2020-10-07 00:00:00+05:30,217.6,218.5,203.8,205.95,33782509
4,2020-10-08 00:00:00+05:30,209.9,212.95,204.15,205.9,24846187
5,2020-10-09 00:00:00+05:30,207.15,208.1,198.0,200.55,23606021
6,2020-10-12 00:00:00+05:30,196.35,198.0,186.55,189.85,47814247
7,2020-10-13 00:00:00+05:30,190.5,192.35,181.55,182.45,29410114
8,2020-10-14 00:00:00+05:30,183.0,188.2,178.6,186.2,35731901
9,2020-10-15 00:00:00+05:30,187.0,188.4,178.7,179.95,20008768
10,2020-10-16 00:00:00+05:30,181.5,182.95,173.5,175.7,29518941
0,2020-10-16 00:00:00+05:30,181.5,182.95,173.5,175.7,29518941
1,2020-10-19 00:00:00+05:30,176.7,177.9,173.5,174.2,20656092
2,2020-10-20 00:00:00+05:30,174.2,183.8,173.0,183.0,32494248
3,2020-10-21 00:00:00+05:30,185.0,189.2,176.05,180.55,30221784
4,2020-10-22 00:00:00+05:30,181.2,185.65,180.55,183.5,20327833
5,2020-10-23 00:00:00+05:30,184.9,187.75,183.6,185.85,16063095
6,2020-10-26 00:00:00+05:30,186.95,186.95,176.0,176.7,21239113
7,2020-10-27 00:00:00+05:30,178.2,189.65,177.5,187.65,29961326
8,2020-10-28 00:00:00+05:30,186.1,186.6,180.3,181.4,15589740
9,2020-10-29 00:00:00+05:30,181.2,181.5,176.25,179.1,14129357
10,2020-10-30 00:00:00+05:30,181.95,189.6,180.5,187.9,36088539
