tradingsymbol,name
ADANIPORTS,ADANI PORT & SEZ
ASIANPAINT,ASIAN PAINTS
AXISBANK,AXIS BANK
BAJAJ-AUTO,BAJAJ AUTO
BAJAJFINSV,BAJAJ FINSERV.
BAJFINANCE,BAJAJ FINANCE
BHARTIARTL,BHARTI AIRTEL
BPCL,BHARAT PETROLEUM CORP  LT
BRITANNIA,BRITANNIA INDUSTRIES
CIPLA,CIPLA
COALINDIA,COAL INDIA
DRREDDY,DR. REDDY'S LABORATORIES
EICHERMOT,EICHER MOTORS
GAIL,GAIL (INDIA)
GRASIM,GRASIM INDUSTRIES
HCLTECH,HCL TECHNOLOGIES
HDFC,HDFC
HDFCBANK,HDFC BANK
HEROMOTOCO,HERO MOTOCORP
HINDALCO,HINDALCO  INDUSTRIES 
HINDUNILVR,HINDUSTAN UNILEVER.
ICICIBANK,ICICI BANK.
INDUSINDBK,INDUSIND BANK
INFRATEL,BHARTI INFRATEL.
INFY,INFOSYS
IOC,INDIAN OIL CORP
ITC,ITC
JSWSTEEL,JSW STEEL
KOTAKBANK,KOTAK MAHINDRA BANK
LT,LARSEN & TOUBRO.
M&M,MAHINDRA & MAHINDRA
MARUTI,MARUTI SUZUKI INDIA.
NESTLEIND,NESTLE INDIA
NTPC,NTPC
ONGC,OIL AND NATURAL GAS CORP.
POWERGRID,POWER GRID CORP..
RELIANCE,RELIANCE INDUSTRIES
SBIN,STATE BANK OF INDIA
SHREECEM,SHREE CEMENT
SUNPHARMA,SUN PHARMACEUTICAL IND L
TATAMOTORS,TATA MOTORS
TATASTEEL,TATA STEEL
TCS,TATA CONSULTANCY SERV LT
TECHM,TECH MAHINDRA
TITAN,TITAN COMPANY
ULTRACEMCO,ULTRATECH CEMENT
UPL,UPL
VEDL,VEDANTA
WIPRO,WIPRO
ZEEL,ZEE ENTERTAINMENT ENT
